FSA,"Population, 2016",Government transfers (% of total income),Median total income of households ($),Average total income of households ($),Total - low-income status,Total visible minority population,Not a visible minority,Unemployment rate
L1T,50536.0,8.5,107702.0,123380.0,50265.0,32595.0,17660.0,8.0
L1V,51910.0,9.2,99216.0,117647.0,51375.0,23270.0,28285.0,8.0
L1S,40689.0,11.4,83781.0,98757.0,40470.0,14035.0,26545.0,8.8
L1N,47572.0,11.0,85673.0,100360.0,46575.0,8335.0,38375.0,7.7
L0E,20497.0,13.7,74022.0,85858.0,19820.0,1075.0,19050.0,5.7
L1M,21878.0,5.8,129002.0,145088.0,21855.0,3495.0,18295.0,5.1
L1H,31261.0,17.0,60691.0,72999.0,30835.0,2675.0,27960.0,10.8
L1P,17479.0,7.3,109137.0,129180.0,17465.0,6035.0,11125.0,8.8
L1V,51910.0,9.2,99216.0,117647.0,51375.0,23270.0,28285.0,8.0
L1J,41793.0,16.3,63795.0,79390.0,41460.0,5205.0,36065.0,10.5
L1G,41124.0,16.3,62653.0,77058.0,40065.0,4795.0,35535.0,10.3
L1J,41793.0,16.3,63795.0,79390.0,41460.0,5205.0,36065.0,10.5
L1N,47572.0,11.0,85673.0,100360.0,46575.0,8335.0,38375.0,7.7
L1T,50536.0,8.5,107702.0,123380.0,50265.0,32595.0,17660.0,8.0
L1K,39697.0,9.7,100427.0,111101.0,39685.0,9965.0,29835.0,8.0
L1G,41124.0,16.3,62653.0,77058.0,40065.0,4795.0,35535.0,10.3
L1T,50536.0,8.5,107702.0,123380.0,50265.0,32595.0,17660.0,8.0
L1X,19481.0,8.1,110720.0,130928.0,19440.0,11335.0,7930.0,7.8
L9L,14897.0,10.5,90272.0,109649.0,14405.0,555.0,13885.0,5.0
L1J,41793.0,16.3,63795.0,79390.0,41460.0,5205.0,36065.0,10.5
L1R,40287.0,7.0,114133.0,134024.0,39725.0,14125.0,25845.0,7.9
L9P,16814.0,8.6,97997.0,124520.0,16625.0,905.0,15930.0,5.4
N3T,34317.0,12.9,69988.0,84707.0,33430.0,4045.0,29165.0,6.6
N0A,29853.0,14.5,74166.0,85920.0,28665.0,540.0,28605.0,6.2
N4B,7772.0,18.2,61232.0,72755.0,7535.0,190.0,7350.0,7.6
N1A,12000.0,18.4,62259.0,74478.0,11820.0,200.0,11620.0,7.5
N3S,25765.0,20.2,52174.0,62270.0,25355.0,2150.0,23230.0,7.8
N0A,29853.0,14.5,74166.0,85920.0,28665.0,540.0,28605.0,6.2
N3W,13409.0,9.7,96054.0,115696.0,13365.0,310.0,13080.0,4.9
N3R,34276.0,16.5,66899.0,81133.0,33850.0,2280.0,31440.0,6.1
N3L,14684.0,11.4,84565.0,96446.0,14195.0,345.0,13735.0,4.0
N3S,25765.0,20.2,52174.0,62270.0,25355.0,2150.0,23230.0,7.8
N3Y,22419.0,17.3,62869.0,75516.0,21595.0,640.0,20940.0,8.6
N3R,34276.0,16.5,66899.0,81133.0,33850.0,2280.0,31440.0,6.1
N0E,34772.0,13.9,77325.0,91307.0,34070.0,410.0,34185.0,5.9
N0E,34772.0,13.9,77325.0,91307.0,34070.0,410.0,34185.0,5.9
N0R,46403.0,10.3,89643.0,108965.0,45245.0,1795.0,43130.0,4.5
N8M,11110.0,13.4,72751.0,85344.0,10950.0,210.0,10940.0,6.5
N9V,20208.0,12.0,82750.0,101521.0,19925.0,705.0,19240.0,6.6
N8X,15575.0,21.3,44928.0,56272.0,15340.0,3600.0,11815.0,11.0
N9Y,14814.0,13.2,74752.0,95106.0,13960.0,400.0,13340.0,5.8
N8H,25905.0,17.5,61914.0,79419.0,24285.0,3135.0,21200.0,6.0
N8S,21819.0,15.4,60312.0,78536.0,21795.0,2250.0,19465.0,7.8
N9J,19358.0,7.9,104524.0,124242.0,19335.0,1720.0,17545.0,4.9
N8N,24162.0,9.4,94848.0,121553.0,23955.0,2480.0,21535.0,4.7
N9E,20688.0,11.2,88297.0,108087.0,20655.0,6025.0,14640.0,6.2
N8W,23796.0,15.4,65475.0,76011.0,23630.0,4675.0,18820.0,7.6
N8Y,18935.0,18.7,49688.0,62873.0,18640.0,2435.0,16390.0,8.8
N9V,20208.0,12.0,82750.0,101521.0,19925.0,705.0,19240.0,6.6
N9B,17804.0,20.9,42170.0,54787.0,17795.0,8860.0,8890.0,13.5
N9B,17804.0,20.9,42170.0,54787.0,17795.0,8860.0,8890.0,13.5
L7N,12972.0,8.8,83695.0,128673.0,12550.0,1240.0,11330.0,5.0
L9T,103839.0,7.5,104077.0,117452.0,102645.0,45710.0,57280.0,5.6
L7G,46057.0,6.8,110751.0,132895.0,45210.0,3285.0,41975.0,5.3
L7L,46761.0,7.4,101915.0,125593.0,45905.0,7745.0,38145.0,5.3
L6H,60913.0,5.8,110184.0,145457.0,60265.0,19445.0,40830.0,6.9
L9T,103839.0,7.5,104077.0,117452.0,102645.0,45710.0,57280.0,5.6
L7M,47925.0,6.4,111955.0,138307.0,47325.0,10705.0,36545.0,5.7
L6M,65493.0,4.7,127398.0,162998.0,64980.0,24825.0,40085.0,7.1
L6K,13009.0,8.6,65237.0,134933.0,12790.0,3145.0,9770.0,6.6
L6K,13009.0,8.6,65237.0,134933.0,12790.0,3145.0,9770.0,6.6
L6M,65493.0,4.7,127398.0,162998.0,64980.0,24825.0,40085.0,7.1
L7J,13634.0,9.5,94903.0,108401.0,13580.0,700.0,12815.0,4.3
L7T,17728.0,10.1,81137.0,115474.0,17385.0,1935.0,15365.0,6.3
L7S,12191.0,12.2,66636.0,86241.0,11780.0,1825.0,10020.0,6.8
L9T,103839.0,7.5,104077.0,117452.0,102645.0,45710.0,57280.0,5.6
L7M,47925.0,6.4,111955.0,138307.0,47325.0,10705.0,36545.0,5.7
L6M,65493.0,4.7,127398.0,162998.0,64980.0,24825.0,40085.0,7.1
L7N,12972.0,8.8,83695.0,128673.0,12550.0,1240.0,11330.0,5.0
L7N,12972.0,8.8,83695.0,128673.0,12550.0,1240.0,11330.0,5.0
L7G,46057.0,6.8,110751.0,132895.0,45210.0,3285.0,41975.0,5.3
L9T,103839.0,7.5,104077.0,117452.0,102645.0,45710.0,57280.0,5.6
L6H,60913.0,5.8,110184.0,145457.0,60265.0,19445.0,40830.0,6.9
L7N,12972.0,8.8,83695.0,128673.0,12550.0,1240.0,11330.0,5.0
L6H,60913.0,5.8,110184.0,145457.0,60265.0,19445.0,40830.0,6.9
L7G,46057.0,6.8,110751.0,132895.0,45210.0,3285.0,41975.0,5.3
L6H,60913.0,5.8,110184.0,145457.0,60265.0,19445.0,40830.0,6.9
L7M,47925.0,6.4,111955.0,138307.0,47325.0,10705.0,36545.0,5.7
L7P,29700.0,8.1,99593.0,139380.0,29215.0,3625.0,25685.0,5.0
L9T,103839.0,7.5,104077.0,117452.0,102645.0,45710.0,57280.0,5.6
L7L,46761.0,7.4,101915.0,125593.0,45905.0,7745.0,38145.0,5.3
L6J,24673.0,3.0,147405.0,306398.0,24290.0,6155.0,17990.0,7.1
L7L,46761.0,7.4,101915.0,125593.0,45905.0,7745.0,38145.0,5.3
L6L,29742.0,7.2,104634.0,144026.0,29390.0,5505.0,23970.0,6.5
L6H,60913.0,5.8,110184.0,145457.0,60265.0,19445.0,40830.0,6.9
L8K,31449.0,17.8,59820.0,71246.0,31335.0,3745.0,27605.0,8.5
L9G,23560.0,6.7,122965.0,160835.0,23325.0,2490.0,20750.0,4.7
L8G,21547.0,16.9,66083.0,82394.0,21175.0,2055.0,19095.0,6.6
L8L,30825.0,24.7,45151.0,55010.0,30350.0,6510.0,23595.0,10.2
L9A,24904.0,15.9,65408.0,77208.0,24665.0,5990.0,18600.0,7.6
L8W,25793.0,13.3,83636.0,95056.0,25585.0,7350.0,17965.0,6.6
L8S,14311.0,11.2,51045.0,72707.0,14000.0,4275.0,9570.0,9.8
L9B,24033.0,12.5,90991.0,103419.0,23595.0,6860.0,16740.0,6.9
L9G,23560.0,6.7,122965.0,160835.0,23325.0,2490.0,20750.0,4.7
L8K,31449.0,17.8,59820.0,71246.0,31335.0,3745.0,27605.0,8.5
L9H,31125.0,9.3,92326.0,117418.0,30050.0,2090.0,28290.0,5.2
L8K,31449.0,17.8,59820.0,71246.0,31335.0,3745.0,27605.0,8.5
L8R,10817.0,22.1,38054.0,50708.0,10125.0,3765.0,6185.0,8.9
L8T,19042.0,15.8,69221.0,83110.0,19020.0,2320.0,16880.0,7.3
